year,population,gdp,urbanization_rate,agricultural_output,land_allocated
2010,50000000,50000000000,0.45,12000000,150000
2011,51000000,52000000000,0.46,12200000,152000
2012,52000000,54000000000,0.47,12500000,155000
2013,53000000,56000000000,0.48,12800000,158000
2014,54000000,58000000000,0.49,13000000,160000
2015,55000000,60000000000,0.50,13200000,162000
2016,56000000,62000000000,0.51,13500000,165000
2017,57000000,64000000000,0.52,13800000,168000
2018,58000000,66000000000,0.53,14000000,170000
2019,59000000,68000000000,0.54,14200000,172000
2020,60000000,70000000000,0.55,14500000,175000
